Episode,Epsilon,LearningRate
,1,1.00000,1.00000
,2,1.00000,1.00000
,3,1.00000,1.00000
,4,1.00000,1.00000
,5,1.00000,1.00000
,6,1.00000,1.00000
,7,1.00000,1.00000
,8,1.00000,1.00000
,9,1.00000,1.00000
,10,1.00000,1.00000
,11,1.00000,1.00000
,12,1.00000,1.00000
,13,1.00000,1.00000
,14,1.00000,1.00000
,15,1.00000,1.00000
,16,1.00000,1.00000
,17,1.00000,1.00000
,18,1.00000,1.00000
,19,1.00000,1.00000
,20,1.00000,1.00000
,21,1.00000,1.00000
,22,1.00000,1.00000
,23,1.00000,1.00000
,24,1.00000,1.00000
,25,1.00000,1.00000
,26,1.00000,1.00000
,27,1.00000,1.00000
,28,1.00000,1.00000
,29,1.00000,1.00000
,30,1.00000,1.00000
,31,1.00000,1.00000
,32,1.00000,1.00000
,33,1.00000,1.00000
,34,1.00000,1.00000
,35,1.00000,1.00000
,36,1.00000,1.00000
,37,1.00000,1.00000
,38,1.00000,1.00000
,39,1.00000,1.00000
,40,1.00000,1.00000
,41,1.00000,1.00000
,42,1.00000,1.00000
,43,1.00000,1.00000
,44,1.00000,1.00000
,45,1.00000,1.00000
,46,1.00000,1.00000
,47,1.00000,1.00000
,48,1.00000,1.00000
,49,1.00000,1.00000
,50,1.00000,1.00000
,51,1.00000,1.00000
,52,1.00000,1.00000
,53,1.00000,1.00000
,54,1.00000,1.00000
,55,1.00000,1.00000
,56,1.00000,1.00000
,57,1.00000,1.00000
,58,1.00000,1.00000
,59,1.00000,1.00000
,60,1.00000,1.00000
,61,1.00000,1.00000
,62,1.00000,1.00000
,63,1.00000,1.00000
,64,1.00000,1.00000
,65,1.00000,1.00000
,66,1.00000,1.00000
,67,1.00000,1.00000
,68,1.00000,1.00000
,69,1.00000,1.00000
,70,1.00000,1.00000
,71,1.00000,1.00000
,72,1.00000,1.00000
,73,1.00000,1.00000
,74,1.00000,1.00000
,75,1.00000,1.00000
,76,1.00000,1.00000
,77,1.00000,1.00000
,78,1.00000,1.00000
,79,1.00000,1.00000
,80,1.00000,1.00000
,81,1.00000,1.00000
,82,1.00000,1.00000
,83,1.00000,1.00000
,84,1.00000,1.00000
,85,1.00000,1.00000
,86,1.00000,1.00000
,87,1.00000,1.00000
,88,1.00000,1.00000
,89,1.00000,1.00000
,90,1.00000,1.00000
,91,1.00000,1.00000
,92,1.00000,1.00000
,93,1.00000,1.00000
,94,1.00000,1.00000
,95,1.00000,1.00000
,96,1.00000,1.00000
,97,1.00000,1.00000
,98,1.00000,1.00000
,99,1.00000,1.00000
,100,1.00000,1.00000
,101,1.00000,1.00000
,102,1.00000,1.00000
,103,1.00000,1.00000
,104,1.00000,1.00000
,105,1.00000,1.00000
,106,1.00000,1.00000
,107,1.00000,1.00000
,108,1.00000,1.00000
,109,1.00000,1.00000
,110,1.00000,1.00000
,111,1.00000,1.00000
,112,1.00000,1.00000
,113,1.00000,1.00000
,114,1.00000,1.00000
,115,1.00000,1.00000
,116,1.00000,1.00000
,117,1.00000,1.00000
,118,1.00000,1.00000
,119,1.00000,1.00000
,120,1.00000,1.00000
,121,1.00000,1.00000
,122,1.00000,1.00000
,123,1.00000,1.00000
,124,1.00000,1.00000
,125,1.00000,1.00000
,126,1.00000,1.00000
,127,1.00000,1.00000
,128,1.00000,1.00000
,129,1.00000,1.00000
,130,1.00000,1.00000
,131,1.00000,1.00000
,132,1.00000,1.00000
,133,1.00000,1.00000
,134,1.00000,1.00000
,135,1.00000,1.00000
,136,1.00000,1.00000
,137,1.00000,1.00000
,138,1.00000,1.00000
,139,1.00000,1.00000
,140,1.00000,1.00000
,141,1.00000,1.00000
,142,1.00000,1.00000
,143,1.00000,1.00000
,144,1.00000,1.00000
,145,1.00000,1.00000
,146,1.00000,1.00000
,147,1.00000,1.00000
,148,1.00000,1.00000
,149,1.00000,1.00000
,150,1.00000,1.00000
,151,1.00000,1.00000
,152,1.00000,1.00000
,153,0.99980,1.00000
,154,0.99960,1.00000
,155,0.99940,1.00000
,156,0.99920,1.00000
,157,0.99900,1.00000
,158,0.99880,1.00000
,159,0.99860,1.00000
,160,0.99840,1.00000
,161,0.99820,1.00000
,162,0.99800,1.00000
,163,0.99780,1.00000
,164,0.99760,1.00000
,165,0.99740,1.00000
,166,0.99720,1.00000
,167,0.99700,1.00000
,168,0.99680,1.00000
,169,0.99661,1.00000
,170,0.99641,1.00000
,171,0.99621,1.00000
,172,0.99601,1.00000
,173,0.99581,1.00000
,174,0.99561,1.00000
,175,0.99541,1.00000
,176,0.99521,1.00000
,177,0.99501,1.00000
,178,0.99481,1.00000
,179,0.99461,1.00000
,180,0.99442,1.00000
,181,0.99422,1.00000
,182,0.99402,1.00000
,183,0.99382,1.00000
,184,0.99362,1.00000
,185,0.99342,1.00000
,186,0.99322,1.00000
,187,0.99302,1.00000
,188,0.99283,1.00000
,189,0.99263,1.00000
,190,0.99243,1.00000
,191,0.99223,1.00000
,192,0.99203,1.00000
,193,0.99183,1.00000
,194,0.99163,1.00000
,195,0.99144,1.00000
,196,0.99124,1.00000
,197,0.99104,1.00000
,198,0.99084,1.00000
,199,0.99064,1.00000
,200,0.99044,1.00000
,201,0.99025,1.00000
,202,0.99005,1.00000
,203,0.98985,1.00000
,204,0.98965,1.00000
,205,0.98945,1.00000
,206,0.98926,1.00000
,207,0.98906,1.00000
,208,0.98886,1.00000
,209,0.98866,1.00000
,210,0.98847,1.00000
,211,0.98827,1.00000
,212,0.98807,1.00000
,213,0.98787,1.00000
,214,0.98768,1.00000
,215,0.98748,1.00000
,216,0.98728,1.00000
,217,0.98708,1.00000
,218,0.98689,1.00000
,219,0.98669,1.00000
,220,0.98649,1.00000
,221,0.98629,1.00000
,222,0.98610,1.00000
,223,0.98590,1.00000
,224,0.98570,1.00000
,225,0.98550,1.00000
,226,0.98531,1.00000
,227,0.98511,1.00000
,228,0.98491,1.00000
,229,0.98472,1.00000
,230,0.98452,1.00000
,231,0.98432,1.00000
,232,0.98413,1.00000
,233,0.98393,1.00000
,234,0.98373,1.00000
,235,0.98354,1.00000
,236,0.98334,1.00000
,237,0.98314,1.00000
,238,0.98295,1.00000
,239,0.98275,1.00000
,240,0.98255,1.00000
,241,0.98236,1.00000
,242,0.98216,1.00000
,243,0.98196,1.00000
,244,0.98177,1.00000
,245,0.98157,1.00000
,246,0.98137,1.00000
,247,0.98118,1.00000
,248,0.98098,1.00000
,249,0.98079,1.00000
,250,0.98059,1.00000
,251,0.98039,1.00000
,252,0.98020,1.00000
,253,0.98000,1.00000
,254,0.97980,1.00000
,255,0.97961,1.00000
,256,0.97941,1.00000
,257,0.97922,1.00000
,258,0.97902,1.00000
,259,0.97883,1.00000
,260,0.97863,1.00000
,261,0.97843,1.00000
,262,0.97824,1.00000
,263,0.97804,1.00000
,264,0.97785,1.00000
,265,0.97765,1.00000
,266,0.97746,1.00000
,267,0.97726,1.00000
,268,0.97706,1.00000
,269,0.97687,1.00000
,270,0.97667,1.00000
,271,0.97648,1.00000
,272,0.97628,1.00000
,273,0.97609,1.00000
,274,0.97589,1.00000
,275,0.97570,1.00000
,276,0.97550,1.00000
,277,0.97531,1.00000
,278,0.97511,1.00000
,279,0.97492,1.00000
,280,0.97472,1.00000
,281,0.97453,1.00000
,282,0.97433,1.00000
,283,0.97414,1.00000
,284,0.97394,1.00000
,285,0.97375,1.00000
,286,0.97355,1.00000
,287,0.97336,1.00000
,288,0.97316,1.00000
,289,0.97297,1.00000
,290,0.97277,1.00000
,291,0.97258,1.00000
,292,0.97239,1.00000
,293,0.97219,1.00000
,294,0.97200,1.00000
,295,0.97180,1.00000
,296,0.97161,1.00000
,297,0.97141,1.00000
