Episode,Epsilon,LearningRate
,1,0.66677,1.00000
,2,0.05000,1.00000
,3,0.05000,1.00000
,4,0.05000,1.00000
,5,0.05000,1.00000
,6,0.05000,1.00000
,7,0.05000,1.00000
,8,0.05000,1.00000
,9,0.05000,1.00000
,10,0.05000,1.00000
